id,type,name,th,region,confidence,updated,sources
"eight-limbs","weapon","The eight limbs","อาวุธทั้งแปด","thailand","high","2026-09-19","s:wp-muay-thai"
"elbow","weapon","The elbow","ศอก","thailand","high","2026-09-19","s:wp-muay-thai"
"fist","weapon","The fist","หมัด","thailand","high","2026-09-19","s:wp-muay-thai"
"knee","weapon","The knee","เข่า","thailand","medium","2026-09-19","s:wp-muay-thai"
"shin","weapon","The shin","แข้ง","thailand","high","2026-09-19","s:wp-muay-thai"
"batha-lup-phak","move","The foot strokes the face","บาทาลูบพักตร์","thailand","medium","2026-09-19","s:maemai-th s:saranukrom"
"check","move","Checking the kick","เช็กแข้ง","thailand","high","2026-09-19","s:wp-muay-thai"
"chorakhe-fat-hang","move","The crocodile lashes its tail","จระเข้ฟาดหาง","thailand","medium","2026-09-19","s:maemai-th s:saranukrom"
"clinch","move","The clinch","จับคอตี","thailand","high","2026-09-19","s:wp-muay-thai"
"hak-kho-erawan","move","Breaking Erawan's neck","หักคอเอราวัณ","thailand","medium","2026-09-19","s:maemai-th s:saranukrom"
"hanuman-thawai-waen","move","Hanuman presents the ring","หนุมานถวายแหวน","thailand","medium","2026-09-19","s:maemai-th s:saranukrom"
"luk-mai","move","The fifteen that come after","ลูกไม้มวยไทย","thailand","high","2026-09-19","s:maemai-th s:saranukrom"
"mae-mai","move","The fifteen mother techniques","แม่ไม้มวยไทย","thailand","high","2026-09-19","s:maemai-th s:saranukrom"
"sweep","move","The dump","ทุ่ม","thailand","medium","2026-09-19","s:wp-muay-thai"
"te-chiang","move","The round kick","เตะเฉียง","thailand","high","2026-09-19","s:wp-muay-thai"
"teep","move","The teep","ถีบ","thailand","high","2026-09-19","s:wp-muay-thai"
"top-maphap","move","Top maphap","ตบมะผาบ","north lanna","low","2026-09-19","s:thwp-นาฏศิลป์ล้านนา s:thwp-ประวัติศาสตร์มวยไทย"
"yang-sam-khum","move","The three-pit step","ย่างสามขุม","thailand","medium","2026-09-19","s:maemai-th s:saranukrom"
"chaiya","style","Muay Chaiya","มวยไชยา","south chaiya","medium","2026-09-19","s:thwp-มวยไชยา s:thwp-มวยไทย"
"fon-jerng","style","Fon jerng","ฟ้อนเจิง","north lanna","medium","2026-09-19","s:thwp-ประวัติศาสตร์มวยไทย s:wp-muay-thai s:thwp-นาฏศิลป์ล้านนา"
"four-lines","style","The four lines, and the rhyme that ranks them","สี่สายมวย","thailand","high","2026-09-19","s:thwp-มวยไทย s:wp-muay-thai s:maemai-th"
"four-styles-of-fighter","style","Four ways to win a fight","สี่แบบของนักมวย","thailand","medium","2026-09-19","s:wp-muay-thai"
"korat","style","Muay Korat","มวยโคราช","isan korat","medium","2026-09-19","s:thwp-มวยโคราช s:maemai-th"
"lopburi","style","Muay Lopburi","มวยลพบุรี","central lopburi","medium","2026-09-19","s:thwp-มวยลพบ-ร- s:maemai-th"
"muay-boran","style","Muay boran","มวยโบราณ","thailand","high","2026-09-19","s:wp-muay-thai s:thwp-มวยไทย"
"muay-femur","style","Muay femur","มวยฝีมือ","thailand","medium","2026-09-19","s:wp-muay-thai"
"muay-khao","style","Muay khao","มวยเข่า","thailand","medium","2026-09-19","s:wp-muay-thai"
"muay-mat","style","Muay mat","มวยหมัด","thailand","medium","2026-09-19","s:wp-muay-thai"
"muay-tae","style","Muay tae","มวยเตะ","thailand","medium","2026-09-19","s:wp-muay-thai"
"thasao","style","Muay Thasao","มวยท่าเสา","north uttaradit","low","2026-09-19","s:maemai-th s:thwp-มวยไทย"
"gao-yod","ritual","Gao yod, the nine spires","เก้ายอด","thailand","medium","2026-09-19","s:wp-wat-bang-phra"
"kho-ham","ritual","The rules that come with it","ข้อห้าม","thailand","high","2026-09-19","s:wp-yantra-tattooing s:wp-wat-bang-phra"
"mongkhon","ritual","The mongkhon","มงคล","thailand","high","2026-09-19","s:wp-muay-thai"
"prajiat","ritual","The armbands","ประเจียด","thailand","medium","2026-09-19","s:wp-muay-thai s:wp-thai-buddha-amulet"
"sak-yant","ritual","Sak yant","สักยันต์","thailand","high","2026-09-19","s:wp-yantra-tattooing s:wp-wat-bang-phra s:wp-khom-thai-script s:wp-tai-tham-script"
"suea-phen","ritual","Suea phen, the leaping tiger","เสือเผ่น","thailand","medium","2026-09-19","s:wp-wat-bang-phra s:wp-yantra-tattooing"
"wai-kru-ram-muay","ritual","The dance before the fight","ไหว้ครูรำมวย","thailand","high","2026-09-19","s:thwp-พ-ธ-ไหว-คร- s:wp-muay-thai"
"ching","music","The time","ฉิ่ง","thailand","medium","2026-09-19","s:thwp-ฉ-ง"
"klong-khaek","music","The drums","กลองแขก","thailand","medium","2026-09-19","s:thwp-กลองแขก"
"klong-sabatchai","music","The victory drum","กลองสะบัดชัย","north lanna","medium","2026-09-19","s:thwp-กลองสะบัดชัย s:thwp-นาฏศิลป์ล้านนา"
"pi-chawa","music","The oboe","ปี่ชวา","thailand","high","2026-09-19","s:thwp-ป-ชวา"
"sarama","music","The band","วงปี่กลอง","thailand","medium","2026-09-19","s:thwp-ป-ชวา s:thwp-มวยไทย"
"buakaw-k1-2004","bout","Buakaw at K-1 Max, 2004","บัวขาว ใน K-1 Max 2547","world","high","2026-09-19","s:wp-buakaw-banchamek s:wp-muay-thai"
